year,topics
2025,[Checks](https://lichess.org/study/JklYUdCz)
,[Captures](https://lichess.org/study/XBVd9ETg)
,[Attacks](https://lichess.org/study/VeMBDMfD)
,[Checkmate](https://lichess.org/study/DAgjAH8u)
,[Stalemate](https://lichess.org/study/0TS37hS2)
,[Notation/Etiquette](https://lichess.org/study/ZZv5Yg6D)
,[Development](https://lichess.org/study/3EAs69WG)
,[The Center](https://lichess.org/study/RezVrDSs)
,[Defence](https://lichess.org/study/PdiDiZC8)
,[En Passant](https://lichess.org/study/SMJfjPwx)
,[Ranks Files & Open Diagonals](https://lichess.org/study/Jh8dV028)
,[Material](https://lichess.org/study/px6eu8Di)
,[Activity](https://lichess.org/study/5OLfFBOS)
,[Resignation](https://lichess.org/study/ZnB0ouY1)
,[The Pawn](https://lichess.org/study/3Q5SwgMT)
,[The Knight](https://lichess.org/study/wRXJsoJW)
,[The Bishop](https://lichess.org/study/zsQ26vJa)
,[The Rook](https://lichess.org/study/XhuqqXsJ)
,[The Queen](https://lichess.org/study/2E4Zl9PG)
,[The King](https://lichess.org/study/XkpVk2Zc)
,[Prophylaxis](https://lichess.org/study/6YztR47B)
,[Initiative](https://lichess.org/study/MOq1Bliv)
,[Space](https://lichess.org/study/XeUK6MI1)
,[Swindling](https://lichess.org/study/YJzWnNDq)
,[Counterplay](https://lichess.org/study/2LT9I69I)
,[Candidate Moves](https://lichess.org/study/vi5RUmev)
,[Analysis](https://lichess.org/study/kEkZtTlY)
,[Tempo & Triangulation](https://lichess.org/study/oh7WhgdX)
,[Opposition](https://lichess.org/study/Zy6nTY2M)
,[Loose Pawns](https://lichess.org/study/zcn0OAw5)
,[Compensation](https://lichess.org/study/pGgdzs10)
,[Sacrificing](https://lichess.org/study/tKhfXXYB)
,[Desperado](https://lichess.org/study/BNOUsC1s)
,[Simplification](https://lichess.org/study/ROkdaktn)
,[Consolidation](https://lichess.org/study/vrjLGLkt)
,[Domination](https://lichess.org/study/HqfjOFah)
, [Zugzwang](https://lichess.org/study/CaDheARM)
,[Discovered Attacks](https://lichess.org/study/b3ysWaRs)
,[Zwischenzug](https://lichess.org/study/pzGF9bFz)
,[Principle of 2 Weaknesses](https://lichess.org/study/NwtM6Fr6)
,[Blockade/Outpost](https://lichess.org/study/r7n0zoGV)
,[Fianchetto](https://lichess.org/study/05mOR1fS)
,[Sharp/Solid](https://lichess.org/study/POhQxJ7d)
,[Sicilian Defence](https://lichess.org/study/pkPAQUcg)
,[French](https://lichess.org/study/97WRmgRE)
,[Caro](https://lichess.org/study/F7Paz1KX)
,[Petrov](https://lichess.org/study/hGWy2RTH)
,Oldies but Goodies
,Modern Miniatures
,Hypermodernism
,Reversed Systems
,Accelerated Systems
,Neo Systems
,Canadian Talent
,Chess Role Models
