Year,topics
2025,[OTB Blitz Practice](https://lichess.org/study/8F4NehiK)
,[Building your Repitoire](https://lichess.org/study/XXQ3VWmm)
,[Endgame Gautlet](https://lichess.org/study/PyxGYJIN)
,[Novel Maneuvers](https://lichess.org/study/4EnHfCdb)
