Date,Tournament,Time Controls,Round,# of Rounds
1/12/2026,MCC Monday Junior Tournament #22,25 min + 5 sec,1,5
1/19/2026,MCC Monday Junior Tournament #22, ,2, 
1/26/2026,MCC Monday Junior Tournament #22,,3, 
2/2/2026,MCC Monday Junior Tournament #22,,4, 
2/9/2026,MCC Monday Junior Tournament #22,,5, 
2/16/2026,Closed - Family Day,, , 
2/23/2026,MCC Monday Junior Tournament #23,25 min + 5 sec,1,6
3/2/2026,MCC Monday Junior Tournament #23, ,2, 
3/9/2026,MCC Monday Junior Tournament #23, ,3, 
3/16/2026,MCC Monday Junior Tournament #23, ,4, 
3/23/2026,MCC Monday Junior Tournament #23,,5, 
3/30/2026,MCC Monday Junior Tournament #23, ,6, 
4/6/2026,Closed - Easter Monday,, , 
4/13/2026,MCC Monday Junior Tournament #24,25 min + 5 sec,1,5
4/20/2026,MCC Monday Junior Tournament #24, ,2, 
4/27/2026,MCC Monday Junior Tournament #24,,3, 
5/4/2026,MCC Monday Junior Tournament #24, ,4, 
5/11/2026,MCC Monday Junior Tournament #24,,5, 
5/18/2026,Closed -  Victoria Day, , , 
5/25/2026,MCC Monday Junior Tournament #25,25 min + 5 sec,1,6
6/1/2026,MCC Monday Junior Tournament #25, ,2, 
6/8/2026,MCC Monday Junior Tournament #25, ,3, 
6/15/2026,MCC Monday Junior Tournament #25, ,4,
6/22/2026,MCC Monday Junior Tournament #25,,5, 
6/29/2026,MCC Monday Junior Tournament #25,,6, 
7/6/2026,Closed -  Summer Break, , , 
7/13/2026,Closed -  Summer Break,,,
7/20/2026,MCC Monday Junior Tournament #26,25 min + 5 sec,1,6
7/27/2026,MCC Monday Junior Tournament #26, ,2, 
8/3/2026,Closed -  Civic Holiday, , , 
8/10/2026,MCC Monday Junior Tournament #26, ,3,
8/17/2026,MCC Monday Junior Tournament #26,,4, 
8/24/2026,MCC Monday Junior Tournament #26,,5, 
8/31/2026,MCC Monday Junior Tournament #26, ,6, 
9/7/2026,Closed - Labour Day,, , 
9/14/2026,MCC Monday Junior Championship,25 min + 5 sec,1,6
9/21/2026,MCC Monday Junior Championship, ,2, 
9/28/2026,MCC Monday Junior Championship,,3, 
10/5/2026,MCC Monday Junior Championship,,4, 
10/12/2026,Closed - Thanksgiving Day,, , 
10/19/2026,MCC Monday Junior Championship, ,5, 
10/26/2026,MCC Monday Junior Championship,,6,
11/2/2026,MCC Monday Junior Tournament #27,25 min + 5 sec,1,5
11/9/2026,MCC Monday Junior Tournament #27, ,2, 
11/16/2026,MCC Monday Junior Tournament #27,,3, 
11/23/2026,MCC Monday Junior Tournament #27,,4, 
11/30/2026,MCC Monday Junior Tournament #27,,5, 
12/7/2026,Christmas Party & Simuls,, , 
12/14/2026,Closed -  Winter Break,, ,
12/21/2026,Closed -  Winter Break,,,
12/28/2026,Closed -  Winter Break,,,
1/4/2027,Closed -  Winter Break,,,
